bean_name;bean_details;attribute_name
MBeanServerDelegate;ImplementationVendor;MBeanServerDelegate.ImplementationVendor
MemoryImpl;Verbose;MemoryImpl.Verbose
MemoryImpl;ObjectPendingFinalizationCount;MemoryImpl.ObjectPendingFinalizationCount
MemoryImpl;HeapMemoryUsage.committed;MemoryImpl.HeapMemoryUsage.committed
MemoryImpl;HeapMemoryUsage.init;MemoryImpl.HeapMemoryUsage.init
MemoryImpl;HeapMemoryUsage.max;MemoryImpl.HeapMemoryUsage.max
MemoryImpl;HeapMemoryUsage.used;MemoryImpl.HeapMemoryUsage.used
MemoryImpl;NonHeapMemoryUsage.committed;MemoryImpl.NonHeapMemoryUsage.committed
MemoryImpl;NonHeapMemoryUsage.init;MemoryImpl.NonHeapMemoryUsage.init
MemoryImpl;NonHeapMemoryUsage.max;MemoryImpl.NonHeapMemoryUsage.max
MemoryImpl;NonHeapMemoryUsage.used;MemoryImpl.NonHeapMemoryUsage.used
MemoryPoolImpl;Usage.committed;MemoryPoolImpl.Usage.committed
MemoryPoolImpl;Usage.init;MemoryPoolImpl.Usage.init
MemoryPoolImpl;Usage.max;MemoryPoolImpl.Usage.max
MemoryPoolImpl;Usage.used;MemoryPoolImpl.Usage.used
MemoryPoolImpl;PeakUsage.committed;MemoryPoolImpl.PeakUsage.committed
MemoryPoolImpl;PeakUsage.init;MemoryPoolImpl.PeakUsage.init
MemoryPoolImpl;PeakUsage.max;MemoryPoolImpl.PeakUsage.max
MemoryPoolImpl;PeakUsage.used;MemoryPoolImpl.PeakUsage.used
MemoryPoolImpl;MemoryManagerNames#0;MemoryPoolImpl.MemoryManagerNames#0
MemoryPoolImpl;MemoryManagerNames#1;MemoryPoolImpl.MemoryManagerNames#1
MemoryPoolImpl;UsageThresholdSupported;MemoryPoolImpl.UsageThresholdSupported
MemoryPoolImpl;CollectionUsageThreshold;MemoryPoolImpl.CollectionUsageThreshold
MemoryPoolImpl;CollectionUsageThresholdExceeded;MemoryPoolImpl.CollectionUsageThresholdExceeded
MemoryPoolImpl;CollectionUsageThresholdCount;MemoryPoolImpl.CollectionUsageThresholdCount
MemoryPoolImpl;CollectionUsage.committed;MemoryPoolImpl.CollectionUsage.committed
MemoryPoolImpl;CollectionUsage.init;MemoryPoolImpl.CollectionUsage.init
MemoryPoolImpl;CollectionUsage.max;MemoryPoolImpl.CollectionUsage.max
MemoryPoolImpl;CollectionUsage.used;MemoryPoolImpl.CollectionUsage.used
MemoryPoolImpl;CollectionUsageThresholdSupported;MemoryPoolImpl.CollectionUsageThresholdSupported
MemoryPoolImpl;Name;MemoryPoolImpl.Name
MemoryPoolImpl;Type;MemoryPoolImpl.Type
MemoryPoolImpl;Valid;MemoryPoolImpl.Valid
RuntimeImpl;BootClassPathSupported;RuntimeImpl.BootClassPathSupported
RuntimeImpl;VmName;RuntimeImpl.VmName
RuntimeImpl;VmVendor;RuntimeImpl.VmVendor
RuntimeImpl;VmVersion;RuntimeImpl.VmVersion
RuntimeImpl;LibraryPath;RuntimeImpl.LibraryPath
RuntimeImpl;BootClassPath;RuntimeImpl.BootClassPath
RuntimeImpl;ManagementSpecVersion;RuntimeImpl.ManagementSpecVersion
RuntimeImpl;SpecName;RuntimeImpl.SpecName
RuntimeImpl;SpecVendor;RuntimeImpl.SpecVendor
RuntimeImpl;SpecVersion;RuntimeImpl.SpecVersion
RuntimeImpl;Uptime;RuntimeImpl.Uptime
RuntimeImpl;SystemProperties."java.ext.dirs";RuntimeImpl.SystemProperties."java.ext.dirs"
RuntimeImpl;SystemProperties."java.vm.specification.vendor";RuntimeImpl.SystemProperties."java.vm.specification.vendor"
RuntimeImpl;SystemProperties."user.timezone";RuntimeImpl.SystemProperties."user.timezone"
RuntimeImpl;SystemProperties."java.vm.vendor";RuntimeImpl.SystemProperties."java.vm.vendor"
RuntimeImpl;SystemProperties."user.name";RuntimeImpl.SystemProperties."user.name"
RuntimeImpl;SystemProperties."java.vm.specification.name";RuntimeImpl.SystemProperties."java.vm.specification.name"
RuntimeImpl;SystemProperties."user.dir";RuntimeImpl.SystemProperties."user.dir"
RuntimeImpl;SystemProperties."user.country";RuntimeImpl.SystemProperties."user.country"
RuntimeImpl;SystemProperties."user.language";RuntimeImpl.SystemProperties."user.language"
RuntimeImpl;SystemProperties."java.specification.version";RuntimeImpl.SystemProperties."java.specification.version"
RuntimeImpl;SystemProperties."sun.cpu.endian";RuntimeImpl.SystemProperties."sun.cpu.endian"
RuntimeImpl;SystemProperties."java.home";RuntimeImpl.SystemProperties."java.home"
RuntimeImpl;SystemProperties."sun.jnu.encoding";RuntimeImpl.SystemProperties."sun.jnu.encoding"
RuntimeImpl;SystemProperties."file.separator";RuntimeImpl.SystemProperties."file.separator"
RuntimeImpl;SystemProperties."java.vendor.url";RuntimeImpl.SystemProperties."java.vendor.url"
RuntimeImpl;SystemProperties."java.awt.graphicsenv";RuntimeImpl.SystemProperties."java.awt.graphicsenv"
RuntimeImpl;SystemProperties."os.arch";RuntimeImpl.SystemProperties."os.arch"
RuntimeImpl;SystemProperties."java.io.tmpdir";RuntimeImpl.SystemProperties."java.io.tmpdir"
RuntimeImpl;SystemProperties."java.runtime.name";RuntimeImpl.SystemProperties."java.runtime.name"
RuntimeImpl;SystemProperties."java.awt.printerjob";RuntimeImpl.SystemProperties."java.awt.printerjob"
RuntimeImpl;SystemProperties."file.encoding";RuntimeImpl.SystemProperties."file.encoding"
RuntimeImpl;SystemProperties."java.version";RuntimeImpl.SystemProperties."java.version"
RuntimeImpl;SystemProperties."java.vendor.url.bug";RuntimeImpl.SystemProperties."java.vendor.url.bug"
RuntimeImpl;SystemProperties."java.vm.specification.version";RuntimeImpl.SystemProperties."java.vm.specification.version"
RuntimeImpl;SystemProperties."file.encoding.pkg";RuntimeImpl.SystemProperties."file.encoding.pkg"
RuntimeImpl;SystemProperties."sun.java.launcher";RuntimeImpl.SystemProperties."sun.java.launcher"
RuntimeImpl;SystemProperties."path.separator";RuntimeImpl.SystemProperties."path.separator"
RuntimeImpl;SystemProperties."java.runtime.version";RuntimeImpl.SystemProperties."java.runtime.version"
RuntimeImpl;SystemProperties."java.class.path";RuntimeImpl.SystemProperties."java.class.path"
RuntimeImpl;SystemProperties."os.name";RuntimeImpl.SystemProperties."os.name"
RuntimeImpl;SystemProperties."line.separator";RuntimeImpl.SystemProperties."line.separator"
RuntimeImpl;SystemProperties."os.version";RuntimeImpl.SystemProperties."os.version"
RuntimeImpl;SystemProperties."sun.arch.data.model";RuntimeImpl.SystemProperties."sun.arch.data.model"
RuntimeImpl;SystemProperties."sun.desktop";RuntimeImpl.SystemProperties."sun.desktop"
RuntimeImpl;SystemProperties."java.class.version";RuntimeImpl.SystemProperties."java.class.version"
RuntimeImpl;SystemProperties."sun.io.unicode.encoding";RuntimeImpl.SystemProperties."sun.io.unicode.encoding"
