bean_name;bean_details
RuntimeImpl;SystemProperties."os.name"
RuntimeImpl;SystemProperties."line.separator"
RuntimeImpl;SystemProperties."os.version"
RuntimeImpl;SystemProperties."sun.arch.data.model"
RuntimeImpl;SystemProperties."sun.desktop"
RuntimeImpl;SystemProperties."java.class.version"
RuntimeImpl;SystemProperties."sun.io.unicode.encoding"
RuntimeImpl;SystemProperties."java.vendor"
RuntimeImpl;SystemProperties."sun.boot.class.path"
RuntimeImpl;SystemProperties."java.vm.info"
RuntimeImpl;SystemProperties."java.specification.name"
RuntimeImpl;SystemProperties."java.vm.name"
RuntimeImpl;SystemProperties."java.vm.version"
RuntimeImpl;SystemProperties."sun.boot.library.path"
RuntimeImpl;SystemProperties."java.endorsed.dirs"
RuntimeImpl;SystemProperties."sun.os.patch.level"
RuntimeImpl;SystemProperties."sun.cpu.isalist"
RuntimeImpl;SystemProperties."user.home"
RuntimeImpl;SystemProperties."java.library.path"
RuntimeImpl;SystemProperties."java.specification.vendor"
RuntimeImpl;SystemProperties."sun.management.compiler"
RuntimeImpl;Name
RuntimeImpl;ClassPath
RuntimeImpl;StartTime
GarbageCollectorImpl;CollectionCount
GarbageCollectorImpl;CollectionTime
GarbageCollectorImpl;MemoryPoolNames#0
GarbageCollectorImpl;MemoryPoolNames#1
GarbageCollectorImpl;Name
GarbageCollectorImpl;Valid
MemoryPoolImpl;Usage.committed
MemoryPoolImpl;Usage.init
MemoryPoolImpl;Usage.max
MemoryPoolImpl;Usage.used
MemoryPoolImpl;PeakUsage.committed
MemoryPoolImpl;PeakUsage.init
MemoryPoolImpl;PeakUsage.max
MemoryPoolImpl;PeakUsage.used
MemoryPoolImpl;MemoryManagerNames#0
MemoryPoolImpl;MemoryManagerNames#1
MemoryPoolImpl;UsageThresholdSupported
MemoryPoolImpl;CollectionUsageThreshold
MemoryPoolImpl;CollectionUsageThresholdExceeded
MemoryPoolImpl;CollectionUsageThresholdCount
MemoryPoolImpl;CollectionUsage.committed
MemoryPoolImpl;CollectionUsage.init
MemoryPoolImpl;CollectionUsage.max
MemoryPoolImpl;CollectionUsage.used
MemoryPoolImpl;CollectionUsageThresholdSupported
MemoryPoolImpl;Name
MemoryPoolImpl;Type
MemoryPoolImpl;Valid
GarbageCollectorImpl;CollectionCount
GarbageCollectorImpl;CollectionTime
GarbageCollectorImpl;MemoryPoolNames#0
GarbageCollectorImpl;MemoryPoolNames#1
GarbageCollectorImpl;MemoryPoolNames#2
GarbageCollectorImpl;MemoryPoolNames#3
GarbageCollectorImpl;MemoryPoolNames#4
GarbageCollectorImpl;MemoryPoolNames#5
GarbageCollectorImpl;Name
GarbageCollectorImpl;Valid
ThreadImpl;ThreadContentionMonitoringSupported
ThreadImpl;CurrentThreadCpuTimeSupported
ThreadImpl;ObjectMonitorUsageSupported
ThreadImpl;SynchronizerUsageSupported
ThreadImpl;ThreadContentionMonitoringEnabled
ThreadImpl;ThreadCpuTimeEnabled
ThreadImpl;PeakThreadCount
ThreadImpl;DaemonThreadCount
ThreadImpl;ThreadCount
ThreadImpl;TotalStartedThreadCount
ThreadImpl;ThreadCpuTimeSupported
ThreadImpl;AllThreadIds
ThreadImpl;CurrentThreadCpuTime
ThreadImpl;CurrentThreadUserTime
MemoryPoolImpl;Usage.committed
MemoryPoolImpl;Usage.init
MemoryPoolImpl;Usage.max
MemoryPoolImpl;Usage.used
MemoryPoolImpl;PeakUsage.committed
MemoryPoolImpl;PeakUsage.init
MemoryPoolImpl;PeakUsage.max
MemoryPoolImpl;PeakUsage.used
MemoryPoolImpl;MemoryManagerNames#0
MemoryPoolImpl;UsageThreshold
MemoryPoolImpl;UsageThresholdExceeded
MemoryPoolImpl;UsageThresholdCount
MemoryPoolImpl;UsageThresholdSupported
MemoryPoolImpl;CollectionUsageThreshold
MemoryPoolImpl;CollectionUsageThresholdExceeded
MemoryPoolImpl;CollectionUsageThresholdCount
MemoryPoolImpl;CollectionUsage.committed
MemoryPoolImpl;CollectionUsage.init
MemoryPoolImpl;CollectionUsage.max
MemoryPoolImpl;CollectionUsage.used
MemoryPoolImpl;CollectionUsageThresholdSupported
MemoryPoolImpl;Name
MemoryPoolImpl;Type
MemoryPoolImpl;Valid
MemoryPoolImpl;Usage.committed
MemoryPoolImpl;Usage.init
MemoryPoolImpl;Usage.max
MemoryPoolImpl;Usage.used
MemoryPoolImpl;PeakUsage.committed
MemoryPoolImpl;PeakUsage.init
MemoryPoolImpl;PeakUsage.max
MemoryPoolImpl;PeakUsage.used
MemoryPoolImpl;MemoryManagerNames#0
